,timestamp,reviews.csv
0,2023-06-28 09:01:11,0
1,2023-06-28 09:01:16,0
2,2023-06-28 09:01:21,0
3,2023-06-28 09:01:26,0
4,2023-06-28 09:01:31,0
5,2023-06-28 09:01:36,0
6,2023-06-28 09:01:41,0
7,2023-06-28 09:01:46,0
8,2023-06-28 09:01:51,0
9,2023-06-28 09:01:56,0
10,2023-06-28 09:02:01,0
11,2023-06-28 09:02:06,0
12,2023-06-28 09:02:11,0
13,2023-06-28 09:02:16,0
14,2023-06-28 09:02:21,0
15,2023-06-28 09:02:26,0
16,2023-06-28 09:02:31,0
17,2023-06-28 09:02:36,0
18,2023-06-28 09:02:41,0
19,2023-06-28 09:02:46,0
20,2023-06-28 09:02:51,0
21,2023-06-28 09:02:56,0
22,2023-06-28 09:03:01,0
23,2023-06-28 09:03:06,0
24,2023-06-28 09:03:11,0
25,2023-06-28 09:03:16,0
26,2023-06-28 09:03:21,0
27,2023-06-28 09:03:26,0
28,2023-06-28 09:03:31,0
29,2023-06-28 09:03:36,0
30,2023-06-28 09:03:41,0
31,2023-06-28 09:03:46,0
32,2023-06-28 09:03:51,0
33,2023-06-28 09:03:56,0
34,2023-06-28 09:04:01,0
35,2023-06-28 09:04:06,0
36,2023-06-28 09:04:11,0
37,2023-06-28 09:04:16,0
38,2023-06-28 09:04:21,0
39,2023-06-28 09:04:26,0
40,2023-06-28 09:04:31,0
41,2023-06-28 09:04:36,0
42,2023-06-28 09:04:41,0
43,2023-06-28 09:04:46,0
44,2023-06-28 09:04:51,0
45,2023-06-28 09:04:56,0
46,2023-06-28 09:05:01,0
47,2023-06-28 09:05:06,0
48,2023-06-28 09:05:11,0
49,2023-06-28 09:05:16,0
50,2023-06-28 09:05:21,0
51,2023-06-28 09:05:26,0
52,2023-06-28 09:05:31,0
53,2023-06-28 09:05:36,0
54,2023-06-28 09:05:41,0
55,2023-06-28 09:05:46,0
56,2023-06-28 09:05:51,0
57,2023-06-28 09:05:56,0
58,2023-06-28 09:06:01,0
59,2023-06-28 09:06:06,0
60,2023-06-28 09:06:11,0
61,2023-06-28 09:06:16,0
62,2023-06-28 09:06:21,0
63,2023-06-28 09:06:26,0
64,2023-06-28 09:06:31,0
65,2023-06-28 09:06:36,0
66,2023-06-28 09:06:41,0
67,2023-06-28 09:06:46,0
68,2023-06-28 09:06:51,0
69,2023-06-28 09:06:56,0
70,2023-06-28 09:07:01,0
71,2023-06-28 09:07:06,0
72,2023-06-28 09:07:11,0
73,2023-06-28 09:07:16,0
74,2023-06-28 09:07:21,0
75,2023-06-28 09:07:26,0
76,2023-06-28 09:07:31,0
77,2023-06-28 09:07:36,0
78,2023-06-28 09:07:41,0
79,2023-06-28 09:07:46,0
80,2023-06-28 09:07:51,0
81,2023-06-28 09:07:56,0
82,2023-06-28 09:08:01,0
83,2023-06-28 09:08:06,0
84,2023-06-28 09:08:11,0
85,2023-06-28 09:08:16,0
86,2023-06-28 09:08:21,0
87,2023-06-28 09:08:26,0
88,2023-06-28 09:08:31,0
89,2023-06-28 09:08:36,0
90,2023-06-28 09:08:41,0
91,2023-06-28 09:08:46,0
92,2023-06-28 09:08:51,0
93,2023-06-28 09:08:56,0
94,2023-06-28 09:09:01,0
95,2023-06-28 09:09:06,0
96,2023-06-28 09:09:11,0
97,2023-06-28 09:09:16,0
98,2023-06-28 09:09:21,0
99,2023-06-28 09:09:26,0
100,2023-06-28 09:09:31,0
101,2023-06-28 09:09:36,0
102,2023-06-28 09:09:41,0
103,2023-06-28 09:09:46,0
104,2023-06-28 09:09:51,0
105,2023-06-28 09:09:56,0
106,2023-06-28 09:10:01,0
107,2023-06-28 09:10:06,0
108,2023-06-28 09:10:11,0
109,2023-06-28 09:10:16,0
110,2023-06-28 09:10:21,0
111,2023-06-28 09:10:26,0
112,2023-06-28 09:10:31,0
113,2023-06-28 09:10:36,0
114,2023-06-28 09:10:41,0
115,2023-06-28 09:10:46,0
116,2023-06-28 09:10:51,0
117,2023-06-28 09:10:56,0
118,2023-06-28 09:11:01,0
119,2023-06-28 09:11:06,0
120,2023-06-28 09:11:11,0
