,source,destination
0,productpage-v1,details-v1
1,istio-ingressgateway,productpage-v1
2,reviews-v2,ratings-v1
3,reviews-v3,ratings-v1
4,productpage-v1,reviews-v1
5,productpage-v1,reviews-v2
6,productpage-v1,reviews-v3
7,details,docker-desktop
8,productpage,docker-desktop
9,productpage,docker-desktop
10,productpage,docker-desktop
11,productpage,docker-desktop
12,productpage,docker-desktop
13,productpage,docker-desktop
14,productpage,docker-desktop
15,productpage,docker-desktop
16,productpage,docker-desktop
17,productpage,docker-desktop
18,productpage,docker-desktop
19,ratings,docker-desktop
20,reviews,docker-desktop
21,reviews,docker-desktop
22,reviews,docker-desktop
