,source,destination
0,productpage-v1,details-v1
1,istio-ingressgateway,productpage-v1
2,reviews-v2,ratings-v1
3,reviews-v3,ratings-v1
4,productpage-v1,reviews-v1
5,productpage-v1,reviews-v2
6,productpage-v1,reviews-v3
7,details,docker-desktop
8,productpage,docker-desktop
9,ratings,docker-desktop
10,reviews,docker-desktop
11,reviews,docker-desktop
12,reviews,docker-desktop
13,reviews,docker-desktop
14,reviews,docker-desktop
15,reviews,docker-desktop
16,reviews,docker-desktop
17,reviews,docker-desktop
18,reviews,docker-desktop
19,reviews,docker-desktop
20,reviews,docker-desktop
21,reviews,docker-desktop
22,reviews,docker-desktop
23,reviews,docker-desktop
24,reviews,docker-desktop
25,reviews,docker-desktop
